x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-5.00000E-09,+15.56485402398E-03,-4.43514657672E-03,-44.22594275093E-03,-20.87866171496E-03,+11.03515625000E-03,-65.13671875000E-03
-4.98438E-09,+14.51882888796E-03,-4.51882858761E-03,-45.52301391959E-03,-21.38075378025E-03,+9.96093750000E-03,-66.99218750000E-03
-4.96875E-09,+13.43096274650E-03,-4.60251059849E-03,-46.77824408282E-03,-21.84100484010E-03,+8.78906250000E-03,-68.65234375000E-03
-4.95313E-09,+12.30125559960E-03,-4.64435160393E-03,-47.99163324060E-03,-22.30125589995E-03,+7.61718750000E-03,-70.31250000000E-03
-4.93750E-09,+11.21338945813E-03,-4.72803361481E-03,-49.16318139294E-03,-22.76150695980E-03,+6.44531250000E-03,-71.97265625000E-03
-4.92188E-09,+10.08368231123E-03,-4.81171562569E-03,-50.33472954528E-03,-23.17991701420E-03,+5.17578125000E-03,-73.53515625000E-03
-4.90625E-09,+8.95397516433E-03,-4.85355663113E-03,-51.38075468130E-03,-23.55648606317E-03,+4.00390625000E-03,-75.00000000000E-03
-4.89063E-09,+7.82426801743E-03,-4.89539763657E-03,-52.42677981732E-03,-23.93305511214E-03,+2.83203125000E-03,-76.36718750000E-03
-4.87500E-09,+6.69456087053E-03,-4.93723864201E-03,-53.38912294246E-03,-24.30962416111E-03,+1.66015625000E-03,-77.73437500000E-03
-4.85938E-09,+5.56485372363E-03,-4.93723864201E-03,-54.30962506216E-03,-24.64435220463E-03,+585.93750000E-06,-79.00390625000E-03
-4.84375E-09,+4.43514657672E-03,-4.97907964746E-03,-55.14644517098E-03,-24.93723924272E-03,-585.93750000E-06,-80.17578125000E-03
-4.82813E-09,+3.30543942982E-03,-4.97907964746E-03,-55.94142427435E-03,-25.23012628080E-03,-1.75781250000E-03,-81.25000000000E-03
-4.81250E-09,+2.21757328836E-03,-5.02092065290E-03,-56.69456237229E-03,-25.52301331889E-03,-2.83203125000E-03,-82.22656250000E-03
-4.79688E-09,+1.12970714690E-03,-5.02092065290E-03,-57.36401845934E-03,-25.77405935153E-03,-3.90625000000E-03,-83.20312500000E-03
-4.78125E-09,+41.84100544E-06,-4.97907964746E-03,-58.03347454639E-03,-25.98326437874E-03,-4.98046875000E-03,-84.08203125000E-03
-4.76562E-09,-1.04602513602E-03,-4.97907964746E-03,-58.61924862256E-03,-26.19246940594E-03,-6.05468750000E-03,-84.86328125000E-03
-4.75000E-09,-2.13389127748E-03,-4.97907964746E-03,-59.16318169329E-03,-26.35983342770E-03,-7.12890625000E-03,-85.54687500000E-03
-4.73437E-09,-3.22175741894E-03,-4.93723864201E-03,-59.66527375858E-03,-26.52719744947E-03,-8.20312500000E-03,-86.23046875000E-03
-4.71875E-09,-4.30962356040E-03,-4.93723864201E-03,-60.08368381299E-03,-26.61087946035E-03,-9.27734375000E-03,-86.71875000000E-03
-4.70312E-09,-5.43933070730E-03,-4.89539763657E-03,-60.50209386740E-03,-26.73640247667E-03,-10.35156250000E-03,-87.30468750000E-03
-4.68750E-09,-6.52719684877E-03,-4.89539763657E-03,-60.87866291637E-03,-26.77824348211E-03,-11.42578125000E-03,-87.69531250000E-03
-4.67187E-09,-7.65690399567E-03,-4.85355663113E-03,-61.17154995445E-03,-26.82008448755E-03,-12.59765625000E-03,-88.08593750000E-03
-4.65625E-09,-8.74477013713E-03,-4.85355663113E-03,-61.42259598710E-03,-26.86192549299E-03,-13.67187500000E-03,-88.37890625000E-03
-4.64062E-09,-9.87447728403E-03,-4.81171562569E-03,-61.58996000886E-03,-26.82008448755E-03,-14.74609375000E-03,-88.47656250000E-03
-4.62500E-09,-11.00418443093E-03,-4.81171562569E-03,-61.75732403062E-03,-26.77824348211E-03,-15.82031250000E-03,-88.57421875000E-03
-4.60937E-09,-12.13389157783E-03,-4.76987462025E-03,-61.84100604150E-03,-26.69456147123E-03,-16.99218750000E-03,-88.57421875000E-03
-4.59375E-09,-13.22175771929E-03,-4.76987462025E-03,-61.84100604150E-03,-26.61087946035E-03,-18.06640625000E-03,-88.47656250000E-03
-4.57812E-09,-14.35146486620E-03,-4.76987462025E-03,-61.79916503606E-03,-26.44351543859E-03,-19.14062500000E-03,-88.28125000000E-03
-4.56250E-09,-15.43933100766E-03,-4.72803361481E-03,-61.71548302518E-03,-26.27615141682E-03,-20.21484375000E-03,-88.08593750000E-03
-4.54687E-09,-16.52719714912E-03,-4.72803361481E-03,-61.54811900342E-03,-26.10878739506E-03,-21.28906250000E-03,-87.69531250000E-03
-4.53125E-09,-17.57322228514E-03,-4.68619260937E-03,-61.33891397621E-03,-25.85774136242E-03,-22.26562500000E-03,-87.20703125000E-03
-4.51562E-09,-18.66108842660E-03,-4.64435160393E-03,-61.08786794357E-03,-25.60669532977E-03,-23.33984375000E-03,-86.71875000000E-03
-4.50000E-09,-19.66527255718E-03,-4.64435160393E-03,-60.75313990004E-03,-25.35564929713E-03,-24.31640625000E-03,-86.13281250000E-03
-4.48437E-09,-20.71129769320E-03,-4.60251059849E-03,-60.37657085108E-03,-25.02092125360E-03,-25.39062500000E-03,-85.44921875000E-03
-4.46875E-09,-21.75732282922E-03,-4.51882858761E-03,-59.95816079667E-03,-24.68619321007E-03,-26.36718750000E-03,-84.66796875000E-03
-4.45312E-09,-22.71966595436E-03,-4.47698758217E-03,-59.45606873138E-03,-24.30962416111E-03,-27.24609375000E-03,-83.78906250000E-03
-4.43750E-09,-23.72385008494E-03,-4.43514657672E-03,-58.95397666609E-03,-23.93305511214E-03,-28.22265625000E-03,-82.91015625000E-03
-4.42187E-09,-24.68619321007E-03,-4.35146456584E-03,-58.36820258992E-03,-23.51464505773E-03,-29.10156250000E-03,-81.93359375000E-03
-4.40625E-09,-25.60669532977E-03,-4.30962356040E-03,-57.74058750831E-03,-23.05439399788E-03,-29.98046875000E-03,-80.85937500000E-03
-4.39062E-09,-26.52719744947E-03,-4.22594154952E-03,-57.02929041581E-03,-22.59414293803E-03,-30.76171875000E-03,-79.68750000000E-03
-4.37500E-09,-27.40585856373E-03,-4.14225953864E-03,-56.31799332332E-03,-22.09205087274E-03,-31.64062500000E-03,-78.41796875000E-03
-4.35937E-09,-28.28451967798E-03,-4.10041853320E-03,-55.52301421994E-03,-21.54811780201E-03,-32.42187500000E-03,-77.14843750000E-03
