x-axis,MATH2
second,Volt
-5.000000000000e-009,-1.12598e-001
-4.984375000000e-009,-1.12012e-001
-4.968750000000e-009,-1.11426e-001
-4.953125000000e-009,-1.10547e-001
-4.937500000000e-009,-1.09766e-001
-4.921875000000e-009,-1.08789e-001
-4.906250000000e-009,-1.07617e-001
-4.890625000000e-009,-1.06445e-001
-4.875000000000e-009,-1.05176e-001
-4.859375000000e-009,-1.03711e-001
-4.843750000000e-009,-1.02148e-001
-4.828125000000e-009,-1.00586e-001
-4.812500000000e-009,-9.88281e-002
-4.796875000000e-009,-9.69727e-002
-4.781250000000e-009,-9.51172e-002
-4.765625000000e-009,-9.30664e-002
-4.750000000000e-009,-9.10156e-002
-4.734375000000e-009,-8.87695e-002
-4.718750000000e-009,-8.65234e-002
-4.703125000000e-009,-8.41797e-002
-4.687500000000e-009,-8.17383e-002
-4.671875000000e-009,-7.92969e-002
-4.656250000000e-009,-7.67578e-002
-4.640625000000e-009,-7.41211e-002
-4.625000000000e-009,-7.14844e-002
-4.609375000000e-009,-6.87500e-002
-4.593750000000e-009,-6.60156e-002
-4.578125000000e-009,-6.32813e-002
-4.562500000000e-009,-6.03516e-002
-4.546875000000e-009,-5.74219e-002
-4.531250000000e-009,-5.43945e-002
-4.515625000000e-009,-5.12695e-002
-4.500000000000e-009,-4.82422e-002
-4.484375000000e-009,-4.50195e-002
-4.468750000000e-009,-4.17969e-002
-4.453125000000e-009,-3.84766e-002
-4.437500000000e-009,-3.52539e-002
-4.421875000000e-009,-3.19336e-002
-4.406250000000e-009,-2.87109e-002
-4.390625000000e-009,-2.53906e-002
-4.375000000000e-009,-2.20703e-002
-4.359375000000e-009,-1.88477e-002
-4.343750000000e-009,-1.55273e-002
-4.328125000000e-009,-1.23047e-002
-4.312500000000e-009,-9.08203e-003
-4.296875000000e-009,-5.85938e-003
-4.281250000000e-009,-2.63672e-003
-4.265625000000e-009, 5.85938e-004
-4.250000000000e-009, 3.80859e-003
-4.234375000000e-009, 7.03125e-003
-4.218750000000e-009, 1.03516e-002
-4.203125000000e-009, 1.36719e-002
-4.187500000000e-009, 1.69922e-002
-4.171875000000e-009, 2.04102e-002
-4.156250000000e-009, 2.36328e-002
-4.140625000000e-009, 2.70508e-002
-4.125000000000e-009, 3.03711e-002
-4.109375000000e-009, 3.36914e-002
-4.093750000000e-009, 3.71094e-002
-4.078125000000e-009, 4.03320e-002
-4.062500000000e-009, 4.35547e-002
-4.046875000000e-009, 4.67773e-002
-4.031250000000e-009, 4.99023e-002
-4.015625000000e-009, 5.30273e-002
-4.000000000000e-009, 5.60547e-002
-3.984375000000e-009, 5.89844e-002
-3.968750000000e-009, 6.19141e-002
-3.953125000000e-009, 6.47461e-002
-3.937500000000e-009, 6.74805e-002
-3.921875000000e-009, 7.02148e-002
-3.906250000000e-009, 7.28516e-002
-3.890625000000e-009, 7.54883e-002
-3.875000000000e-009, 7.80273e-002
-3.859375000000e-009, 8.05664e-002
-3.843750000000e-009, 8.30078e-002
-3.828125000000e-009, 8.53516e-002
-3.812500000000e-009, 8.76953e-002
-3.796875000000e-009, 8.98438e-002
-3.781250000000e-009, 9.19922e-002
-3.765625000000e-009, 9.39453e-002
-3.750000000000e-009, 9.58984e-002
-3.734375000000e-009, 9.76563e-002
-3.718750000000e-009, 9.93164e-002
-3.703125000000e-009, 1.00879e-001
-3.687500000000e-009, 1.02344e-001
-3.671875000000e-009, 1.03711e-001
-3.656250000000e-009, 1.04883e-001
-3.640625000000e-009, 1.06152e-001
-3.625000000000e-009, 1.07129e-001
-3.609375000000e-009, 1.08105e-001
-3.593750000000e-009, 1.08887e-001
-3.578125000000e-009, 1.09668e-001
-3.562500000000e-009, 1.10254e-001
-3.546875000000e-009, 1.10742e-001
-3.531250000000e-009, 1.11230e-001
-3.515625000000e-009, 1.11523e-001
-3.500000000000e-009, 1.11621e-001
-3.484375000000e-009, 1.11719e-001
-3.468750000000e-009, 1.11621e-001
-3.453125000000e-009, 1.11523e-001
-3.437500000000e-009, 1.11230e-001
-3.421875000000e-009, 1.10742e-001
-3.406250000000e-009, 1.10254e-001
-3.390625000000e-009, 1.09570e-001
-3.375000000000e-009, 1.08887e-001
-3.359375000000e-009, 1.08008e-001
-3.343750000000e-009, 1.07031e-001
-3.328125000000e-009, 1.06055e-001
-3.312500000000e-009, 1.04883e-001
-3.296875000000e-009, 1.03613e-001
-3.281250000000e-009, 1.02246e-001
-3.265625000000e-009, 1.00879e-001
-3.250000000000e-009, 9.93164e-002
-3.234375000000e-009, 9.76563e-002
-3.218750000000e-009, 9.58984e-002
-3.203125000000e-009, 9.41406e-002
-3.187500000000e-009, 9.21875e-002
-3.171875000000e-009, 9.01367e-002
-3.156250000000e-009, 8.79883e-002
-3.140625000000e-009, 8.57422e-002
-3.125000000000e-009, 8.34961e-002
-3.109375000000e-009, 8.10547e-002
-3.093750000000e-009, 7.86133e-002
-3.078125000000e-009, 7.60742e-002
-3.062500000000e-009, 7.35352e-002
-3.046875000000e-009, 7.08008e-002
-3.031250000000e-009, 6.80664e-002
-3.015625000000e-009, 6.53320e-002
-3.000000000000e-009, 6.25000e-002
-2.984375000000e-009, 5.95703e-002
-2.968750000000e-009, 5.67383e-002
-2.953125000000e-009, 5.37109e-002
-2.937500000000e-009, 5.06836e-002
-2.921875000000e-009, 4.75586e-002
-2.906250000000e-009, 4.44336e-002
-2.890625000000e-009, 4.12109e-002
-2.875000000000e-009, 3.79883e-002
-2.859375000000e-009, 3.46680e-002
-2.843750000000e-009, 3.13477e-002
-2.828125000000e-009, 2.80273e-002
-2.812500000000e-009, 2.47070e-002
-2.796875000000e-009, 2.12891e-002
-2.781250000000e-009, 1.79687e-002
-2.765625000000e-009, 1.46484e-002
-2.750000000000e-009, 1.14258e-002
