x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-5.00000E-09,+7.61506299023E-03,+50.54393457249E-03,-11.67364051798E-03,-68.82845395012E-03,+58.10546875000E-03,-80.56640625000E-03
-4.98438E-09,+7.02928891405E-03,+49.95816049632E-03,-11.58995850710E-03,-68.36820289027E-03,+56.93359375000E-03,-79.98046875000E-03
-4.96875E-09,+6.44351483788E-03,+49.37238642015E-03,-11.50627649622E-03,-67.86611082498E-03,+55.76171875000E-03,-79.39453125000E-03
-4.95313E-09,+5.85774076171E-03,+48.70293033309E-03,-11.38075347990E-03,-67.28033674881E-03,+54.49218750000E-03,-78.71093750000E-03
-4.93750E-09,+5.27196668554E-03,+47.99163324060E-03,-11.25523046358E-03,-66.65272166720E-03,+53.22265625000E-03,-77.92968750000E-03
-4.92188E-09,+4.64435160393E-03,+47.19665413722E-03,-11.12970744725E-03,-65.94142457470E-03,+51.75781250000E-03,-77.14843750000E-03
-4.90625E-09,+4.05857752776E-03,+46.40167503385E-03,-10.96234342549E-03,-65.14644547133E-03,+50.39062500000E-03,-76.17187500000E-03
-4.89063E-09,+3.47280345159E-03,+45.52301391959E-03,-10.79497940373E-03,-64.30962536251E-03,+48.92578125000E-03,-75.19531250000E-03
-4.87500E-09,+2.88702937542E-03,+44.56067079445E-03,-10.58577437652E-03,-63.43096424825E-03,+47.36328125000E-03,-74.02343750000E-03
-4.85938E-09,+2.30125529924E-03,+43.59832766931E-03,-10.37656934932E-03,-62.42678011768E-03,+45.89843750000E-03,-72.85156250000E-03
-4.84375E-09,+1.75732222851E-03,+42.55230253329E-03,-10.16736432211E-03,-61.42259598710E-03,+44.23828125000E-03,-71.67968750000E-03
-4.82813E-09,+1.17154815234E-03,+41.46443639183E-03,-9.91631828947E-03,-60.33472984564E-03,+42.57812500000E-03,-70.31250000000E-03
-4.81250E-09,+627.61508161E-06,+40.33472924493E-03,-9.66527225683E-03,-59.16318169329E-03,+40.91796875000E-03,-68.84765625000E-03
-4.79688E-09,+41.84100544E-06,+39.16318109259E-03,-9.41422622418E-03,-57.94979253551E-03,+39.16015625000E-03,-67.38281250000E-03
-4.78125E-09,-502.09206529E-06,+37.94979193481E-03,-9.16318019154E-03,-56.65272136684E-03,+37.40234375000E-03,-65.82031250000E-03
-4.76562E-09,-1.04602513602E-03,+36.73640277702E-03,-8.87029315345E-03,-55.31380919274E-03,+35.64453125000E-03,-64.25781250000E-03
-4.75000E-09,-1.58995820675E-03,+35.48117261380E-03,-8.57740611536E-03,-53.89121500775E-03,+33.88671875000E-03,-62.50000000000E-03
-4.73437E-09,-2.17573228292E-03,+34.18410144513E-03,-8.24267807184E-03,-52.38493881188E-03,+31.93359375000E-03,-60.64453125000E-03
-4.71875E-09,-2.71966535365E-03,+32.84518927103E-03,-7.94979103375E-03,-50.87866261601E-03,+30.07812500000E-03,-58.88671875000E-03
-4.70312E-09,-3.30543942982E-03,+31.50627709692E-03,-7.61506299023E-03,-49.28870440926E-03,+28.12500000000E-03,-56.93359375000E-03
-4.68750E-09,-3.89121350599E-03,+30.08368291194E-03,-7.28033494670E-03,-47.61506419163E-03,+26.17187500000E-03,-54.98046875000E-03
-4.67187E-09,-4.51882858761E-03,+28.66108872695E-03,-6.94560690317E-03,-45.94142397400E-03,+24.12109375000E-03,-52.92968750000E-03
-4.65625E-09,-5.14644366922E-03,+27.19665353652E-03,-6.61087885965E-03,-44.18410174549E-03,+21.97265625000E-03,-50.87890625000E-03
-4.64062E-09,-5.77405875083E-03,+25.69037734065E-03,-6.23430981068E-03,-42.42677951697E-03,+19.82421875000E-03,-48.73046875000E-03
-4.62500E-09,-6.40167383244E-03,+24.14226013934E-03,-5.89958176715E-03,-40.62761628302E-03,+17.67578125000E-03,-46.58203125000E-03
