x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-10.00000E-09,-395.44775546529E-03,-403.97489746101E-03,-351.30534833297E-03,-425.94959097915E-03
-9.96875E-09,-374.52725390904E-03,-383.05439590477E-03,-330.38484677673E-03,-407.12113957852E-03
-9.93750E-09,-351.51470219716E-03,-362.13389434852E-03,-307.37229506485E-03,-386.20063802227E-03
-9.90625E-09,-328.50215048529E-03,-337.02929248102E-03,-284.35974335298E-03,-363.18808631040E-03
-9.87500E-09,-305.48959877342E-03,-311.92469061352E-03,-259.25514148548E-03,-338.08348444290E-03
-9.84375E-09,-280.38499690592E-03,-284.72803859040E-03,-234.15053961798E-03,-312.97888257541E-03
-9.81250E-09,-255.28039503843E-03,-257.53138656728E-03,-206.95388759486E-03,-285.78223055229E-03
-9.78125E-09,-230.17579317093E-03,-228.24268438853E-03,-177.66518541611E-03,-258.58557852916E-03
-9.75000E-09,-202.97914114781E-03,-198.95398220978E-03,-146.28443308174E-03,-229.29687635042E-03
-9.71875E-09,-175.78248912468E-03,-169.66528003104E-03,-114.90368074737E-03,-200.00817417167E-03
-9.68750E-09,-148.58583710156E-03,-138.28452769666E-03,-83.52292841300E-03,-170.71947199292E-03
-9.65625E-09,-119.29713492281E-03,-106.90377536229E-03,-52.14217607863E-03,-141.43076981417E-03
-9.62500E-09,-90.00843274406E-03,-75.52302302792E-03,-20.76142374425E-03,-110.05001747980E-03
-9.59375E-09,-60.71973056532E-03,-42.05022053792E-03,+10.61932859012E-03,-80.76131530105E-03
-9.56250E-09,-31.43102838657E-03,-10.66946820355E-03,+42.00008092449E-03,-49.38056296668E-03
-9.53125E-09,-50.27605220E-06,+22.80333428645E-03,+73.38083325886E-03,-20.09186078793E-03
-9.50000E-09,+29.23842612655E-03,+54.18408662082E-03,+106.85363574886E-03,+11.28889154644E-03
-9.46875E-09,+58.52712830530E-03,+83.47278879956E-03,+138.23438808323E-03,+40.57759372518E-03
-9.43750E-09,+87.81583048404E-03,+114.85354113394E-03,+169.61514041760E-03,+69.86629590393E-03
-9.40625E-09,+117.10453266279E-03,+144.14224331268E-03,+198.90384259635E-03,+99.15499808268E-03
-9.37500E-09,+146.39323484154E-03,+175.52299564706E-03,+228.19254477510E-03,+126.35165010580E-03
-9.34375E-09,+173.58988686466E-03,+204.81169782580E-03,+257.48124695384E-03,+153.54830212892E-03
-9.31250E-09,+200.78653888778E-03,+234.10040000455E-03,+284.67789897696E-03,+180.74495415204E-03
-9.28125E-09,+225.89114075528E-03,+261.29705202767E-03,+311.87455100009E-03,+205.84955601954E-03
-9.25000E-09,+250.99574262277E-03,+288.49370405079E-03,+336.97915286758E-03,+230.95415788704E-03
-9.21875E-09,+276.10034449027E-03,+313.59830591829E-03,+362.08375473508E-03,+253.96670959891E-03
-9.18750E-09,+297.02084604652E-03,+336.61085763016E-03,+385.09630644695E-03,+274.88721115516E-03
-9.15625E-09,+320.03339775839E-03,+357.53135918641E-03,+406.01680800320E-03,+297.89976286703E-03
-9.12500E-09,+338.86184915901E-03,+378.45186074265E-03,+424.84525940382E-03,+316.72821426765E-03
-9.09375E-09,+357.69030055964E-03,+397.28031214328E-03,+443.67371080444E-03,+335.55666566828E-03
-9.06250E-09,+376.51875196026E-03,+416.10876354390E-03,+458.31806189382E-03,+354.38511706890E-03
-9.03125E-09,+391.16310304963E-03,+432.84516478890E-03,+475.05446313881E-03,+369.02946815827E-03
-9.00000E-09,+403.71540398338E-03,+447.48951587827E-03,+487.60676407256E-03,+383.67381924764E-03
-8.96875E-09,+414.17565476150E-03,+460.04181681202E-03,+500.15906500631E-03,+394.13407002576E-03
-8.93750E-09,+424.63590553962E-03,+470.50206759014E-03,+510.61931578443E-03,+404.59432080389E-03
-8.90625E-09,+433.00410616212E-03,+478.87026821264E-03,+518.98751640693E-03,+412.96252142639E-03
-8.87500E-09,+439.28025662899E-03,+485.14641867951E-03,+527.35571702943E-03,+419.23867189326E-03
-8.84375E-09,+443.46435694024E-03,+489.33051899076E-03,+531.53981734067E-03,+425.51482236013E-03
-8.81250E-09,+447.64845725149E-03,+491.42256914638E-03,+533.63186749630E-03,+427.60687251576E-03
-8.78125E-09,+447.64845725149E-03,+493.51461930200E-03,+533.63186749630E-03,+429.69892267138E-03
-8.75000E-09,+447.64845725149E-03,+491.42256914638E-03,+533.63186749630E-03,+427.60687251575E-03
-8.71875E-09,+445.55640709586E-03,+489.33051899075E-03,+531.53981734067E-03,+425.51482236012E-03
-8.68750E-09,+441.37230678461E-03,+485.14641867950E-03,+525.26366687379E-03,+421.33072204887E-03
-8.65625E-09,+435.09615631774E-03,+478.87026821262E-03,+518.98751640692E-03,+415.05457158200E-03
-8.62500E-09,+428.82000585086E-03,+470.50206759012E-03,+510.61931578442E-03,+406.68637095950E-03
-8.59375E-09,+420.45180522836E-03,+460.04181681200E-03,+500.15906500629E-03,+398.31817033699E-03
-8.56250E-09,+409.99155445023E-03,+447.48951587825E-03,+487.60676407254E-03,+385.76586940325E-03
-8.53125E-09,+397.43925351648E-03,+434.93721494450E-03,+472.96241298316E-03,+373.21356846949E-03
-8.50000E-09,+382.79490242711E-03,+420.29286385512E-03,+456.22601173816E-03,+358.56921738012E-03
-8.46875E-09,+366.05850118211E-03,+401.46441245450E-03,+439.48961049317E-03,+341.83281613512E-03
-8.43750E-09,+347.23004978148E-03,+382.63596105387E-03,+422.75320924816E-03,+323.00436473449E-03
-8.40625E-09,+326.30954822523E-03,+361.71545949762E-03,+401.83270769192E-03,+302.08386317825E-03
-8.37500E-09,+305.38904666898E-03,+338.70290778575E-03,+383.00425629129E-03,+281.16336162200E-03
-8.34375E-09,+282.37649495711E-03,+315.69035607387E-03,+359.99170457941E-03,+258.15080991012E-03
-8.31250E-09,+259.36394324524E-03,+290.58575420637E-03,+334.88710271192E-03,+235.13825819825E-03
-8.28125E-09,+236.35139153336E-03,+263.38910218325E-03,+309.78250084442E-03,+210.03365633075E-03
-8.25000E-09,+211.24678966586E-03,+236.19245016013E-03,+282.58584882129E-03,+184.92905446325E-03
-8.21875E-09,+184.05013764274E-03,+206.90374798138E-03,+253.29714664255E-03,+159.82445259575E-03
-8.18750E-09,+156.85348561961E-03,+177.61504580263E-03,+226.10049461942E-03,+132.62780057263E-03
-8.15625E-09,+127.56478344087E-03,+146.23429346826E-03,+194.71974228505E-03,+105.43114854951E-03
-8.12500E-09,+98.27608126212E-03,+116.94559128951E-03,+165.43104010630E-03,+76.14244637076E-03
-8.09375E-09,+68.98737908337E-03,+85.56483895514E-03,+136.14233792755E-03,+46.85374419201E-03
-8.06250E-09,+39.69867690463E-03,+54.18408662077E-03,+104.76158559318E-03,+17.56504201326E-03
-8.03125E-09,+10.40997472588E-03,+22.80333428639E-03,+73.38083325881E-03,-13.81571032111E-03
-8.00000E-09,-16.78667729725E-03,-8.57741804798E-03,+42.00008092444E-03,-43.10441249986E-03
-7.96875E-09,-48.16742963162E-03,-42.05022053797E-03,+8.52727843444E-03,-72.39311467860E-03
-7.93750E-09,-77.45613181036E-03,-73.43097287235E-03,-22.85347389993E-03,-101.68181685735E-03
-7.90625E-09,-106.74483398911E-03,-104.81172520672E-03,-54.23422623430E-03,-130.97051903610E-03
-7.87500E-09,-133.94148601223E-03,-136.19247754109E-03,-85.61497856867E-03,-160.25922121484E-03
-7.84375E-09,-163.23018819098E-03,-165.48117971984E-03,-116.99573090304E-03,-189.54792339359E-03
-7.81250E-09,-190.42684021410E-03,-196.86193205420E-03,-146.28443308179E-03,-218.83662557234E-03
-7.78125E-09,-217.62349223722E-03,-224.05858407733E-03,-177.66518541616E-03,-248.12532775108E-03
-7.75000E-09,-242.72809410472E-03,-253.34728625607E-03,-204.86183743929E-03,-275.32197977420E-03
-7.71875E-09,-267.83269597221E-03,-280.54393827920E-03,-234.15053961803E-03,-302.51863179732E-03
-7.68750E-09,-290.84524768409E-03,-307.74059030231E-03,-259.25514148552E-03,-327.62323366482E-03
-7.65625E-09,-315.94984955158E-03,-332.84519216981E-03,-284.35974335302E-03,-350.63578537669E-03
-7.62500E-09,-338.96240126345E-03,-355.85774388168E-03,-307.37229506489E-03,-371.55628693294E-03
-7.59375E-09,-361.97495297532E-03,-376.77824543793E-03,-328.29279662113E-03,-392.47678848918E-03
-7.56250E-09,-382.89545453157E-03,-397.69874699417E-03,-349.21329817738E-03,-411.30523988981E-03
-7.53125E-09,-401.72390593219E-03,-416.52719839479E-03,-368.04174957800E-03,-432.22574144605E-03
-7.50000E-09,-418.46030717719E-03,-433.26359963978E-03,-384.77815082300E-03,-448.96214269105E-03
-7.46875E-09,-435.19670842218E-03,-447.90795072916E-03,-401.51455206800E-03,-465.69854393604E-03
-7.43750E-09,-449.84105951155E-03,-462.55230181853E-03,-418.25095331299E-03,-480.34289502541E-03
-7.40625E-09,-462.39336044530E-03,-477.19665290790E-03,-430.80325424673E-03,-492.89519595915E-03
-7.37500E-09,-474.94566137904E-03,-487.65690368602E-03,-443.35555518048E-03,-503.35544673727E-03
-7.34375E-09,-485.40591215716E-03,-500.20920461977E-03,-453.81580595860E-03,-511.72364735977E-03
-7.31250E-09,-493.77411277966E-03,-508.57740524226E-03,-460.09195642547E-03,-520.09184798227E-03
-7.28125E-09,-500.05026324653E-03,-514.85355570913E-03,-466.36810689234E-03,-526.36799844914E-03
-7.25000E-09,-506.32641371340E-03,-519.03765602038E-03,-470.55220720359E-03,-530.55209876039E-03
-7.21875E-09,-508.41846386902E-03,-523.22175633162E-03,-472.64425735921E-03,-534.73619907164E-03
-7.18750E-09,-510.51051402465E-03,-523.22175633162E-03,-474.73630751483E-03,-536.82824922726E-03
-7.15625E-09,-510.51051402464E-03,-523.22175633162E-03,-474.73630751483E-03,-536.82824922725E-03
-7.12500E-09,-508.41846386901E-03,-521.12970617599E-03,-472.64425735920E-03,-534.73619907163E-03
-7.09375E-09,-504.23436355776E-03,-516.94560586474E-03,-468.46015704795E-03,-532.64414891600E-03
-7.06250E-09,-500.05026324651E-03,-510.66945539786E-03,-462.18400658107E-03,-526.36799844912E-03
-7.03125E-09,-491.68206262401E-03,-502.30125477536E-03,-453.81580595857E-03,-520.09184798224E-03
-7.00000E-09,-483.31386200150E-03,-491.84100399723E-03,-443.35555518044E-03,-509.63159720412E-03
-6.96875E-09,-470.76156106775E-03,-479.28870306348E-03,-430.80325424669E-03,-499.17134642599E-03
-6.93750E-09,-458.20926013400E-03,-466.73640212973E-03,-416.15890315731E-03,-486.61904549224E-03
-6.90625E-09,-441.47285888900E-03,-450.00000088473E-03,-401.51455206793E-03,-474.06674455849E-03
-6.87500E-09,-424.73645764400E-03,-435.35564979535E-03,-382.68610066731E-03,-457.33034331348E-03
-6.84375E-09,-405.90800624338E-03,-416.52719839473E-03,-363.85764926669E-03,-438.50189191286E-03
-6.81250E-09,-387.07955484275E-03,-395.60669683848E-03,-345.02919786606E-03,-419.67344051224E-03
-6.78125E-09,-366.15905328650E-03,-374.68619528223E-03,-322.01664615419E-03,-398.75293895598E-03
-6.75000E-09,-343.14650157463E-03,-351.67364357035E-03,-301.09614459794E-03,-375.74038724411E-03
-6.71875E-09,-320.13394986275E-03,-326.56904170286E-03,-275.99154273044E-03,-352.72783553224E-03
-6.68750E-09,-295.02934799526E-03,-301.46443983536E-03,-248.79489070731E-03,-327.62323366474E-03
-6.65625E-09,-269.92474612776E-03,-274.26778781223E-03,-221.59823868419E-03,-302.51863179724E-03
-6.62500E-09,-244.82014426026E-03,-247.07113578911E-03,-192.30953650544E-03,-275.32197977411E-03
-6.59375E-09,-217.62349223714E-03,-217.78243361036E-03,-163.02083432669E-03,-246.03327759537E-03
-6.56250E-09,-190.42684021401E-03,-188.49373143161E-03,-131.64008199233E-03,-216.74457541662E-03
-6.53125E-09,-163.23018819089E-03,-157.11297909724E-03,-102.35137981358E-03,-187.45587323788E-03
-6.50000E-09,-136.03353616777E-03,-125.73222676287E-03,-70.97062747920E-03,-158.16717105913E-03
-6.46875E-09,-106.74483398902E-03,-94.35147442850E-03,-39.58987514484E-03,-128.87846888038E-03
-6.43750E-09,-77.45613181027E-03,-60.87867193850E-03,-10.30117296608E-03,-97.49771654601E-03
-6.40625E-09,-48.16742963153E-03,-29.49791960413E-03,+23.17162952391E-03,-68.20901436726E-03
-6.37500E-09,-18.87872745278E-03,+3.97488288586E-03,+54.55238185828E-03,-38.92031218851E-03
-6.34375E-09,+10.40997472597E-03,+35.35563522024E-03,+88.02518434828E-03,-7.53955985415E-03
-6.31250E-09,+41.79072706033E-03,+66.73638755461E-03,+119.40593668265E-03,+21.74914232460E-03
-6.28125E-09,+71.07942923908E-03,+98.11713988897E-03,+150.78668901702E-03,+53.12989465897E-03
-6.25000E-09,+102.46018157345E-03,+127.40584206772E-03,+182.16744135139E-03,+82.41859683772E-03
-6.21875E-09,+131.74888375220E-03,+158.78659440209E-03,+211.45614353013E-03,+111.70729901646E-03
-6.18750E-09,+158.94553577532E-03,+188.07529658084E-03,+240.74484570888E-03,+138.90395103958E-03
-6.15625E-09,+186.14218779844E-03,+217.36399875958E-03,+267.94149773200E-03,+164.00855290708E-03
-6.12500E-09,+211.24678966593E-03,+244.56065078270E-03,+295.13814975512E-03,+191.20520493019E-03
-6.09375E-09,+236.35139153343E-03,+271.75730280582E-03,+322.33480177824E-03,+214.21775664207E-03
-6.06250E-09,+261.45599340092E-03,+298.95395482894E-03,+347.43940364573E-03,+239.32235850956E-03
-6.03125E-09,+284.46854511280E-03,+321.96650654081E-03,+370.45195535760E-03,+262.33491022143E-03
-6.00000E-09,+307.48109682466E-03,+344.97905825268E-03,+393.46450706947E-03,+283.25541177768E-03
-5.96875E-09,+328.40159838091E-03,+365.89955980893E-03,+414.38500862572E-03,+306.26796348955E-03
-5.93750E-09,+347.23004978153E-03,+386.82006136517E-03,+433.21346002634E-03,+325.09641489017E-03
-5.90625E-09,+366.05850118215E-03,+405.64851276579E-03,+449.94986127133E-03,+343.92486629079E-03
-5.87500E-09,+382.79490242714E-03,+422.38491401079E-03,+466.68626251633E-03,+360.66126753578E-03
-5.84375E-09,+397.43925351651E-03,+437.02926510016E-03,+481.33061360570E-03,+375.30561862515E-03
-5.81250E-09,+407.89950429464E-03,+451.67361618953E-03,+493.88291453944E-03,+387.85791955890E-03
-5.78125E-09,+420.45180522838E-03,+464.22591712327E-03,+504.34316531757E-03,+400.41022049264E-03
-5.75000E-09,+428.82000585088E-03,+472.59411774577E-03,+514.80341609569E-03,+408.77842111514E-03
-5.71875E-09,+435.09615631775E-03,+480.96231836827E-03,+523.17161671818E-03,+417.14662173764E-03
-5.68750E-09,+441.37230678462E-03,+487.23846883514E-03,+529.44776718505E-03,+423.42277220451E-03
-5.65625E-09,+445.55640709587E-03,+491.42256914638E-03,+533.63186749630E-03,+427.60687251576E-03
-5.62500E-09,+447.64845725149E-03,+493.51461930201E-03,+535.72391765192E-03,+429.69892267138E-03
