x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-10.00000E-09,-692.51887756400E-03,-707.32217002660E-03,-652.56057074294E-03,-710.46841214411E-03
-9.96875E-09,-688.33477725275E-03,-705.23011987098E-03,-648.37647043169E-03,-706.28431183286E-03
-9.93750E-09,-677.87452647463E-03,-694.76986909285E-03,-637.91621965356E-03,-695.82406105474E-03
-9.90625E-09,-656.95402491838E-03,-675.94141769223E-03,-616.99571809731E-03,-676.99560965411E-03
-9.87500E-09,-625.57327258400E-03,-642.46861520223E-03,-583.52291560732E-03,-643.52280716412E-03
-9.84375E-09,-577.45611900463E-03,-594.35146162286E-03,-535.40576202795E-03,-597.49770374037E-03
-9.81250E-09,-520.97076480277E-03,-533.68200710974E-03,-474.73630751483E-03,-541.01234953850E-03
-9.78125E-09,-454.02515982277E-03,-464.64435197412E-03,-407.79070253483E-03,-480.34289502538E-03
-9.75000E-09,-387.07955484278E-03,-395.60669683851E-03,-338.75304739922E-03,-415.48934020101E-03
-9.71875E-09,-324.31805017403E-03,-330.75314201414E-03,-273.89949257485E-03,-354.81988568789E-03
-9.68750E-09,-265.74064581654E-03,-270.08368750102E-03,-213.23003806173E-03,-296.24248133040E-03
-9.65625E-09,-211.34734177030E-03,-213.59833329915E-03,-156.74468385986E-03,-241.84917728416E-03
-9.62500E-09,-161.13813803530E-03,-157.11297909728E-03,-100.25932965799E-03,-187.45587323791E-03
-9.59375E-09,-110.92893430031E-03,-102.71967505104E-03,-43.77397545612E-03,-135.15461934729E-03
-9.56250E-09,-60.71973056531E-03,-44.14227069354E-03,+12.71137874575E-03,-80.76131530105E-03
-9.53125E-09,-8.41847667469E-03,+12.34308350833E-03,+69.19673294762E-03,-26.36801125480E-03
-9.50000E-09,+43.88277721593E-03,+68.82843771020E-03,+125.68208714949E-03,+25.93324263582E-03
-9.46875E-09,+96.18403110655E-03,+123.22174175644E-03,+180.07539119573E-03,+76.14244637081E-03
-9.43750E-09,+144.30118468592E-03,+173.43094549144E-03,+230.28459493073E-03,+124.25959995018E-03
-9.40625E-09,+192.41833826529E-03,+221.54809907081E-03,+278.40174851010E-03,+170.28470337393E-03
-9.37500E-09,+238.44344168903E-03,+269.66525265018E-03,+324.42685193384E-03,+216.30980679767E-03
-9.34375E-09,+282.37649495715E-03,+317.78240622955E-03,+370.45195535759E-03,+262.33491022142E-03
-9.31250E-09,+326.30954822527E-03,+365.89955980892E-03,+416.47705878133E-03,+306.26796348954E-03
-9.28125E-09,+370.24260149339E-03,+411.92466323266E-03,+460.41011204945E-03,+350.20101675766E-03
-9.25000E-09,+409.99155445026E-03,+455.85771650078E-03,+500.15906500632E-03,+392.04201987015E-03
-9.21875E-09,+445.55640709588E-03,+493.51461930202E-03,+537.81596780756E-03,+429.69892267139E-03
-9.18750E-09,+479.02920958587E-03,+526.98742179201E-03,+569.19672014193E-03,+461.07967500576E-03
-9.15625E-09,+506.22586160900E-03,+554.18407381514E-03,+598.48542232068E-03,+490.36837718451E-03
-9.12500E-09,+529.23841332087E-03,+579.28867568263E-03,+623.59002418817E-03,+515.47297905201E-03
-9.09375E-09,+550.15891487711E-03,+600.20917723888E-03,+646.60257590004E-03,+538.48553076388E-03
-9.06250E-09,+568.98736627774E-03,+621.12967879513E-03,+665.43102730067E-03,+561.49808247575E-03
-9.03125E-09,+587.81581767836E-03,+639.95813019575E-03,+684.25947870129E-03,+580.32653387637E-03
-9.00000E-09,+604.55221892336E-03,+656.69453144075E-03,+700.99587994629E-03,+601.24703543262E-03
-8.96875E-09,+621.28862016836E-03,+671.33888253012E-03,+717.73228119129E-03,+617.98343667762E-03
-8.93750E-09,+638.02502141335E-03,+685.98323361949E-03,+732.37663228066E-03,+634.71983792261E-03
-8.90625E-09,+650.57732234710E-03,+698.53553455324E-03,+744.92893321441E-03,+649.36418901198E-03
-8.87500E-09,+663.12962328085E-03,+708.99578533136E-03,+757.48123414815E-03,+659.82443979011E-03
-8.84375E-09,+673.58987405897E-03,+717.36398595386E-03,+765.84943477065E-03,+670.28469056823E-03
-8.81250E-09,+679.86602452584E-03,+725.73218657636E-03,+774.21763539315E-03,+676.56084103510E-03
-8.78125E-09,+684.05012483709E-03,+729.91628688760E-03,+778.40173570439E-03,+682.83699150198E-03
-8.75000E-09,+688.23422514834E-03,+734.10038719885E-03,+780.49378586002E-03,+687.02109181322E-03
-8.71875E-09,+690.32627530396E-03,+734.10038719885E-03,+780.49378586002E-03,+687.02109181322E-03
-8.68750E-09,+690.32627530396E-03,+732.00833704322E-03,+780.49378586001E-03,+687.02109181322E-03
-8.65625E-09,+688.23422514833E-03,+729.91628688760E-03,+776.30968554876E-03,+682.83699150197E-03
-8.62500E-09,+684.05012483708E-03,+723.64013642072E-03,+772.12558523751E-03,+678.65289119072E-03
-8.59375E-09,+677.77397437020E-03,+717.36398595385E-03,+765.84943477063E-03,+670.28469056822E-03
-8.56250E-09,+667.31372359208E-03,+708.99578533134E-03,+755.38918399251E-03,+661.91648994571E-03
-8.53125E-09,+654.76142265832E-03,+696.44348439759E-03,+742.83688305875E-03,+649.36418901196E-03
-8.50000E-09,+638.02502141332E-03,+681.79913330821E-03,+726.10048181375E-03,+632.62778776696E-03
-8.46875E-09,+619.19657001270E-03,+662.97068190759E-03,+707.27203041313E-03,+611.70728621071E-03
-8.43750E-09,+598.27606845644E-03,+639.95813019571E-03,+684.25947870125E-03,+588.69473449883E-03
-8.40625E-09,+573.17146658894E-03,+614.85352832821E-03,+657.06282667812E-03,+559.40603232008E-03
-8.37500E-09,+543.88276441019E-03,+583.47277599383E-03,+625.68207434375E-03,+528.02527998570E-03
-8.34375E-09,+510.40996192019E-03,+549.99997350383E-03,+590.11722169812E-03,+490.36837718445E-03
-8.31250E-09,+474.84510927457E-03,+512.34307070258E-03,+550.36826874125E-03,+452.71147438320E-03
-8.28125E-09,+435.09615631769E-03,+470.50206759008E-03,+506.43521547312E-03,+410.87047127070E-03
-8.25000E-09,+393.25515320519E-03,+426.56901432196E-03,+462.50216220500E-03,+364.84536784696E-03
-8.21875E-09,+349.32209993707E-03,+380.54391089821E-03,+416.47705878125E-03,+318.82026442321E-03
-8.18750E-09,+301.20494635770E-03,+330.33470716321E-03,+368.35990520188E-03,+270.70311084384E-03
-8.15625E-09,+253.08779277833E-03,+278.03345327259E-03,+320.24275162251E-03,+222.58595726447E-03
-8.12500E-09,+202.87858904333E-03,+225.73219938197E-03,+270.03354788751E-03,+174.46880368509E-03
-8.09375E-09,+152.66938530833E-03,+171.33889533572E-03,+217.73229399689E-03,+124.25959995010E-03
-8.06250E-09,+100.36813141772E-03,+116.94559128948E-03,+165.43104010627E-03,+76.14244637073E-03
-8.03125E-09,+50.15892768272E-03,+62.55228724323E-03,+111.03773606002E-03,+25.93324263573E-03
-8.00000E-09,-2.14232620790E-03,+8.15898319699E-03,+56.64443201378E-03,-26.36801125489E-03
-7.96875E-09,-54.44358009852E-03,-46.23432084926E-03,+159.07781191E-06,-78.66926514551E-03
-7.93750E-09,-104.65278383352E-03,-100.62762489550E-03,-54.23422623434E-03,-130.97051903613E-03
-7.90625E-09,-154.86198756851E-03,-155.02092894175E-03,-110.71958043620E-03,-183.27177292675E-03
-7.87500E-09,-202.97914114788E-03,-209.41423298799E-03,-165.11288448245E-03,-235.57302681737E-03
-7.84375E-09,-251.09629472725E-03,-263.80753703423E-03,-219.50618852869E-03,-285.78223055236E-03
-7.81250E-09,-299.21344830662E-03,-314.01674076922E-03,-269.71539226368E-03,-333.89938413172E-03
-7.78125E-09,-345.23855173036E-03,-362.13389434859E-03,-317.83254584305E-03,-379.92448755547E-03
-7.75000E-09,-391.26365515410E-03,-408.15899777233E-03,-365.94969942241E-03,-423.85754082359E-03
-7.71875E-09,-435.19670842222E-03,-450.00000088482E-03,-409.88275269053E-03,-465.69854393607E-03
-7.68750E-09,-477.03771153471E-03,-491.84100399731E-03,-449.63170564739E-03,-503.35544673732E-03
-7.65625E-09,-514.69461433595E-03,-529.49790679855E-03,-487.28860844863E-03,-538.92029938293E-03
-7.62500E-09,-548.16741682594E-03,-562.97070928854E-03,-518.66936078300E-03,-570.30105171729E-03
-7.59375E-09,-575.36406884905E-03,-592.25941146727E-03,-545.86601280610E-03,-595.40565358478E-03
-7.56250E-09,-596.28457040529E-03,-613.17991302351E-03,-564.69446420672E-03,-616.32615514102E-03
-7.53125E-09,-610.92892149465E-03,-627.82426411288E-03,-579.33881529608E-03,-630.97050623039E-03
-7.50000E-09,-621.38917227277E-03,-638.28451489100E-03,-587.70701591858E-03,-641.43075700850E-03
-7.46875E-09,-627.66532273964E-03,-644.56066535787E-03,-596.07521654107E-03,-647.70690747538E-03
-7.43750E-09,-631.84942305088E-03,-648.74476566912E-03,-600.25931685232E-03,-653.98305794225E-03
-7.40625E-09,-633.94147320651E-03,-652.92886598036E-03,-604.44341716357E-03,-658.16715825350E-03
-7.37500E-09,-636.03352336214E-03,-657.11296629161E-03,-606.53546731920E-03,-660.25920840912E-03
-7.34375E-09,-640.21762367339E-03,-659.20501644724E-03,-610.71956763044E-03,-664.44330872037E-03
-7.31250E-09,-644.40172398463E-03,-663.38911675848E-03,-612.81161778607E-03,-666.53535887600E-03
-7.28125E-09,-646.49377414026E-03,-665.48116691411E-03,-614.90366794169E-03,-670.71945918724E-03
-7.25000E-09,-650.67787445151E-03,-665.48116691411E-03,-614.90366794169E-03,-672.81150934287E-03
-7.21875E-09,-652.76992460713E-03,-667.57321706973E-03,-616.99571809732E-03,-674.90355949850E-03
-7.18750E-09,-654.86197476276E-03,-669.66526722536E-03,-621.17981840857E-03,-679.08765980974E-03
-7.15625E-09,-659.04607507401E-03,-671.75731738099E-03,-623.27186856419E-03,-681.17970996537E-03
-7.12500E-09,-661.13812522963E-03,-675.94141769224E-03,-625.36391871982E-03,-685.36381027662E-03
-7.09375E-09,-665.32222554088E-03,-680.12551800349E-03,-629.54801903107E-03,-689.54791058787E-03
-7.06250E-09,-669.50632585213E-03,-684.30961831474E-03,-631.64006918670E-03,-691.63996074349E-03
-7.03125E-09,-673.69042616338E-03,-690.58576878161E-03,-635.82416949794E-03,-695.82406105474E-03
-7.00000E-09,-677.87452647463E-03,-694.76986909286E-03,-640.00826980919E-03,-697.91611121037E-03
-6.96875E-09,-682.05862678588E-03,-696.86191924848E-03,-644.19237012044E-03,-702.10021152161E-03
-6.93750E-09,-686.24272709713E-03,-701.04601955973E-03,-646.28442027606E-03,-704.19226167724E-03
-6.90625E-09,-690.42682740838E-03,-703.13806971535E-03,-648.37647043169E-03,-706.28431183287E-03
-6.87500E-09,-692.51887756400E-03,-705.23011987098E-03,-650.46852058731E-03,-710.46841214411E-03
-6.84375E-09,-692.51887756400E-03,-705.23011987098E-03,-652.56057074293E-03,-710.46841214411E-03
-6.81250E-09,-690.42682740837E-03,-705.23011987097E-03,-650.46852058730E-03,-710.46841214410E-03
-6.78125E-09,-686.24272709710E-03,-701.04601955971E-03,-646.28442027604E-03,-704.19226167721E-03
-6.75000E-09,-671.59837600771E-03,-688.49371862594E-03,-631.64006918665E-03,-689.54791058782E-03
-6.71875E-09,-646.49377414019E-03,-663.38911675842E-03,-606.53546731912E-03,-664.44330872030E-03
-6.68750E-09,-608.83687133893E-03,-623.64016380152E-03,-564.69446420661E-03,-626.78640591904E-03
-6.65625E-09,-558.62766760391E-03,-571.33890991089E-03,-510.30116016035E-03,-576.57720218403E-03
-6.62500E-09,-495.86616293516E-03,-506.48535508651E-03,-447.53965549160E-03,-517.99979782653E-03
-6.59375E-09,-428.92055795517E-03,-437.44769995090E-03,-378.50200035598E-03,-453.14624300216E-03
-6.56250E-09,-364.06700313081E-03,-370.50209497091E-03,-311.55639537600E-03,-390.38473833342E-03
-6.53125E-09,-301.30549846208E-03,-305.64854014655E-03,-248.79489070726E-03,-329.71528382031E-03
-6.50000E-09,-242.72809410459E-03,-244.97908563344E-03,-190.21748634977E-03,-273.22992961845E-03
-6.46875E-09,-190.42684021398E-03,-188.49373143158E-03,-133.73213214791E-03,-218.83662557221E-03
-6.43750E-09,-140.21763647898E-03,-134.10042738533E-03,-77.24677794604E-03,-166.53537168159E-03
-6.40625E-09,-90.00843274399E-03,-77.61507318346E-03,-20.76142374417E-03,-112.14206763535E-03
-6.37500E-09,-37.70717885337E-03,-21.12971898159E-03,+35.72393045770E-03,-59.84081374473E-03
-6.34375E-09,+14.59407503725E-03,+35.35563522027E-03,+94.30133481519E-03,-5.44750969848E-03
-6.31250E-09,+66.89532892786E-03,+89.74893926651E-03,+148.69463886142E-03,+46.85374419213E-03
-6.28125E-09,+115.01248250723E-03,+144.14224331275E-03,+198.90384259642E-03,+94.97089777149E-03
-6.25000E-09,+163.12963608660E-03,+192.25939689212E-03,+249.11304633140E-03,+143.08805135086E-03
-6.21875E-09,+209.15473951034E-03,+242.46860062711E-03,+295.13814975515E-03,+189.11315477461E-03
-6.18750E-09,+255.17984293409E-03,+290.58575420648E-03,+343.25530333452E-03,+235.13825819835E-03
-6.15625E-09,+301.20494635783E-03,+338.70290778585E-03,+389.28040675826E-03,+279.07131146647E-03
-6.12500E-09,+345.13799962594E-03,+384.72801120959E-03,+435.30551018200E-03,+325.09641489021E-03
-6.09375E-09,+386.97900273843E-03,+430.75311463333E-03,+477.14651329449E-03,+366.93741800270E-03
-6.06250E-09,+424.63590553967E-03,+472.59411774582E-03,+516.89546625135E-03,+406.68637095956E-03
-6.03125E-09,+460.20075818528E-03,+510.25102054705E-03,+552.46031889697E-03,+442.25122360518E-03
-6.00000E-09,+489.48946036402E-03,+541.63177288141E-03,+583.84107123133E-03,+473.63197593954E-03
-5.96875E-09,+514.59406223152E-03,+566.73637474891E-03,+611.03772325445E-03,+500.82862796266E-03
-5.93750E-09,+537.60661394339E-03,+589.74892646078E-03,+634.05027496632E-03,+525.93322983015E-03
-5.90625E-09,+558.52711549963E-03,+610.66942801702E-03,+654.97077652256E-03,+548.94578154202E-03
-5.87500E-09,+577.35556690025E-03,+627.40582926202E-03,+673.79922792318E-03,+569.86628309827E-03
-5.84375E-09,+594.09196814525E-03,+646.23428066264E-03,+692.62767932380E-03,+590.78678465451E-03
-5.81250E-09,+610.82836939025E-03,+662.97068190763E-03,+709.36408056880E-03,+607.52318589951E-03
-5.78125E-09,+627.56477063524E-03,+677.61503299701E-03,+724.00843165817E-03,+624.25958714451E-03
-5.75000E-09,+642.20912172461E-03,+692.25938408638E-03,+738.65278274754E-03,+640.99598838950E-03
-5.71875E-09,+654.76142265836E-03,+704.81168502012E-03,+751.20508368129E-03,+653.54828932324E-03
-5.68750E-09,+665.22167343648E-03,+713.17988564262E-03,+761.66533445941E-03,+664.00854010136E-03
-5.65625E-09,+673.58987405897E-03,+721.54808626511E-03,+770.03353508190E-03,+672.37674072386E-03
-5.62500E-09,+681.95807468147E-03,+727.82423673198E-03,+776.30968554877E-03,+680.74494134635E-03
-5.59375E-09,+686.14217499272E-03,+732.00833704323E-03,+778.40173570440E-03,+684.92904165760E-03
-5.56250E-09,+690.32627530396E-03,+734.10038719885E-03,+780.49378586002E-03,+687.02109181322E-03
-5.53125E-09,+690.32627530396E-03,+734.10038719885E-03,+780.49378586001E-03,+687.02109181322E-03
-5.50000E-09,+690.32627530395E-03,+732.00833704322E-03,+778.40173570439E-03,+684.92904165759E-03
-5.46875E-09,+686.14217499270E-03,+727.82423673197E-03,+774.21763539313E-03,+680.74494134634E-03
-5.43750E-09,+681.95807468145E-03,+723.64013642071E-03,+767.94148492626E-03,+676.56084103509E-03
-5.40625E-09,+673.58987405895E-03,+715.27193579821E-03,+759.57328430375E-03,+668.19264041258E-03
-5.37500E-09,+663.12962328082E-03,+704.81168502008E-03,+749.11303352563E-03,+655.64033947883E-03
-5.34375E-09,+648.48527219144E-03,+690.16733393071E-03,+736.56073259187E-03,+643.08803854507E-03
-5.31250E-09,+631.74887094644E-03,+673.43093268571E-03,+719.82433134687E-03,+624.25958714445E-03
-5.28125E-09,+610.82836939019E-03,+654.60248128507E-03,+698.90382979062E-03,+601.24703543257E-03
-5.25000E-09,+587.81581767831E-03,+629.49787941757E-03,+673.79922792311E-03,+576.14243356507E-03
-5.21875E-09,+560.61916565518E-03,+602.30122739445E-03,+642.41847558874E-03,+546.85373138632E-03
-5.18750E-09,+531.33046347643E-03,+570.92047506007E-03,+608.94567309873E-03,+513.38092889631E-03
-5.15625E-09,+495.76561083081E-03,+535.35562241444E-03,+571.28877029749E-03,+475.72402609506E-03
-5.12500E-09,+460.20075818518E-03,+495.60666945757E-03,+531.53981734061E-03,+435.97507313819E-03
-5.09375E-09,+418.35975507268E-03,+453.76566634507E-03,+489.69881422811E-03,+392.04201987007E-03
-5.06250E-09,+374.42670180456E-03,+407.74056292132E-03,+445.76576095999E-03,+346.01691644632E-03
-5.03125E-09,+328.40159838081E-03,+359.62340934195E-03,+397.64860738062E-03,+297.89976286695E-03
-5.00000E-09,+282.37649495706E-03,+309.41420560695E-03,+349.53145380125E-03,+251.87465944321E-03
-4.96875E-09,+232.16729122207E-03,+257.11295171633E-03,+299.32225006625E-03,+203.75750586384E-03
-4.93750E-09,+181.95808748708E-03,+202.71964767009E-03,+247.02099617563E-03,+155.64035228446E-03
-4.90625E-09,+131.74888375208E-03,+148.32634362384E-03,+194.71974228501E-03,+105.43114854947E-03
-4.87500E-09,+79.44762986146E-03,+93.93303957760E-03,+140.32643823877E-03,+55.22194481447E-03
-4.84375E-09,+29.23842612647E-03,+39.53973553136E-03,+88.02518434815E-03,+2.92069092386E-03
-4.81250E-09,-23.06282776415E-03,-14.85356851488E-03,+33.63188030190E-03,-47.28851281114E-03
-4.78125E-09,-75.36408165477E-03,-69.24687256113E-03,-22.85347389996E-03,-101.68181685738E-03
-4.75000E-09,-125.57328538976E-03,-123.64017660737E-03,-77.24677794621E-03,-153.98307074800E-03
-4.71875E-09,-175.78248912475E-03,-178.03348065361E-03,-133.73213214807E-03,-204.19227448299E-03
-4.68750E-09,-223.89964270412E-03,-230.33473454423E-03,-188.12543619431E-03,-256.49352837361E-03
-4.65625E-09,-272.01679628349E-03,-282.63598843485E-03,-240.42669008493E-03,-304.61068195298E-03
-4.62500E-09,-318.04189970723E-03,-332.84519216984E-03,-290.63589381992E-03,-352.72783553234E-03
-4.59375E-09,-364.06700313097E-03,-380.96234574920E-03,-338.75304739928E-03,-398.75293895608E-03
-4.56250E-09,-408.00005639909E-03,-424.89539901732E-03,-382.68610066740E-03,-440.59394206858E-03
-4.53125E-09,-451.93310966721E-03,-466.73640212981E-03,-426.61915393552E-03,-482.43494518106E-03
-4.50000E-09,-491.68206262407E-03,-508.57740524230E-03,-466.36810689238E-03,-517.99979782668E-03
-4.46875E-09,-527.24691526969E-03,-544.14225788791E-03,-501.93295953799E-03,-553.56465047229E-03
-4.43750E-09,-558.62766760405E-03,-575.52301022228E-03,-531.22166171673E-03,-580.76130249541E-03
-4.40625E-09,-583.73226947154E-03,-600.62761208976E-03,-554.23421342860E-03,-605.86590436290E-03
-4.37500E-09,-602.56072087215E-03,-619.45606349038E-03,-570.97061467359E-03,-622.60230560789E-03
-4.34375E-09,-617.20507196152E-03,-632.00836442412E-03,-583.52291560733E-03,-635.15460654163E-03
-4.31250E-09,-625.57327258402E-03,-640.37656504662E-03,-591.89111622982E-03,-645.61485731975E-03
-4.28125E-09,-631.84942305088E-03,-646.65271551349E-03,-596.07521654108E-03,-651.89100778662E-03
